"id","name","family","base","material","spell","skill","difficulty","station","materials","existing icon"
"armour.ring.legs.rimesteel","Rimesteel Ringmail greaves","armour","ring_greaves","rimesteel","","blacksmithing","65","forge","rimesteel x6",""
"armour.ring.legs.verdite","Verdite Ringmail greaves","armour","ring_greaves","verdite","","blacksmithing","72","forge","verdite x6",""
"armour.ring.legs.voidrock","Voidrock Ringmail greaves","armour","ring_greaves","voidrock","","blacksmithing","79","forge","voidrock x6",""
"armour.ring.legs.starfall","Starfall Ringmail greaves","armour","ring_greaves","starfall","","blacksmithing","86","forge","starfall x6",""
"armour.ring.feet.iron","Iron Ringmail boots","armour","ring_boots","iron","","blacksmithing","33","forge","iron x5",""
"armour.ring.feet.silver","Silver Ringmail boots","armour","ring_boots","silver","","blacksmithing","40","forge","silver x5",""
"armour.ring.feet.coldiron","Coldiron Ringmail boots","armour","ring_boots","coldiron","","blacksmithing","47","forge","coldiron x5",""
"armour.ring.feet.emberite","Emberite Ringmail boots","armour","ring_boots","emberite","","blacksmithing","54","forge","emberite x5",""
"armour.ring.feet.rimesteel","Rimesteel Ringmail boots","armour","ring_boots","rimesteel","","blacksmithing","61","forge","rimesteel x5",""
"armour.ring.feet.verdite","Verdite Ringmail boots","armour","ring_boots","verdite","","blacksmithing","68","forge","verdite x5",""
"armour.ring.feet.voidrock","Voidrock Ringmail boots","armour","ring_boots","voidrock","","blacksmithing","75","forge","voidrock x5",""
"armour.ring.feet.starfall","Starfall Ringmail boots","armour","ring_boots","starfall","","blacksmithing","82","forge","starfall x5",""
"armour.ring.back.iron","Iron Ringmail cloak","armour","ring_cloak","iron","","blacksmithing","34","forge","iron x5",""
"armour.ring.back.silver","Silver Ringmail cloak","armour","ring_cloak","silver","","blacksmithing","41","forge","silver x5",""
"armour.ring.back.coldiron","Coldiron Ringmail cloak","armour","ring_cloak","coldiron","","blacksmithing","48","forge","coldiron x5",""
"armour.ring.back.emberite","Emberite Ringmail cloak","armour","ring_cloak","emberite","","blacksmithing","55","forge","emberite x5",""
"armour.ring.back.rimesteel","Rimesteel Ringmail cloak","armour","ring_cloak","rimesteel","","blacksmithing","62","forge","rimesteel x5",""
"armour.ring.back.verdite","Verdite Ringmail cloak","armour","ring_cloak","verdite","","blacksmithing","69","forge","verdite x5",""
"armour.ring.back.voidrock","Voidrock Ringmail cloak","armour","ring_cloak","voidrock","","blacksmithing","76","forge","voidrock x5",""
"armour.ring.back.starfall","Starfall Ringmail cloak","armour","ring_cloak","starfall","","blacksmithing","83","forge","starfall x5",""
"armour.chain.head.iron","Iron Chainmail helm","armour","chain_helm","iron","","blacksmithing","41","forge","iron x7",""
"armour.chain.head.silver","Silver Chainmail helm","armour","chain_helm","silver","","blacksmithing","48","forge","silver x7",""
"armour.chain.head.coldiron","Coldiron Chainmail helm","armour","chain_helm","coldiron","","blacksmithing","55","forge","coldiron x7",""
"armour.chain.head.emberite","Emberite Chainmail helm","armour","chain_helm","emberite","","blacksmithing","62","forge","emberite x7",""
"armour.chain.head.rimesteel","Rimesteel Chainmail helm","armour","chain_helm","rimesteel","","blacksmithing","69","forge","rimesteel x7",""
"armour.chain.head.verdite","Verdite Chainmail helm","armour","chain_helm","verdite","","blacksmithing","76","forge","verdite x7",""
"armour.chain.head.voidrock","Voidrock Chainmail helm","armour","chain_helm","voidrock","","blacksmithing","83","forge","voidrock x7",""
"armour.chain.head.starfall","Starfall Chainmail helm","armour","chain_helm","starfall","","blacksmithing","90","forge","starfall x7",""
"armour.chain.chest.iron","Iron Chainmail tunic","armour","chain_tunic","iron","","blacksmithing","46","forge","iron x8",""
"armour.chain.chest.silver","Silver Chainmail tunic","armour","chain_tunic","silver","","blacksmithing","53","forge","silver x8",""
"armour.chain.chest.coldiron","Coldiron Chainmail tunic","armour","chain_tunic","coldiron","","blacksmithing","60","forge","coldiron x8",""
"armour.chain.chest.emberite","Emberite Chainmail tunic","armour","chain_tunic","emberite","","blacksmithing","67","forge","emberite x8",""
"armour.chain.chest.rimesteel","Rimesteel Chainmail tunic","armour","chain_tunic","rimesteel","","blacksmithing","74","forge","rimesteel x8",""
"armour.chain.chest.verdite","Verdite Chainmail tunic","armour","chain_tunic","verdite","","blacksmithing","81","forge","verdite x8",""
"armour.chain.chest.voidrock","Voidrock Chainmail tunic","armour","chain_tunic","voidrock","","blacksmithing","88","forge","voidrock x8",""
"armour.chain.chest.starfall","Starfall Chainmail tunic","armour","chain_tunic","starfall","","blacksmithing","95","forge","starfall x8",""
"armour.chain.hands.iron","Iron Chainmail gauntlets","armour","chain_gauntlets","iron","","blacksmithing","39","forge","iron x6",""
"armour.chain.hands.silver","Silver Chainmail gauntlets","armour","chain_gauntlets","silver","","blacksmithing","46","forge","silver x6",""
"armour.chain.hands.coldiron","Coldiron Chainmail gauntlets","armour","chain_gauntlets","coldiron","","blacksmithing","53","forge","coldiron x6",""
"armour.chain.hands.emberite","Emberite Chainmail gauntlets","armour","chain_gauntlets","emberite","","blacksmithing","60","forge","emberite x6",""
"armour.chain.hands.rimesteel","Rimesteel Chainmail gauntlets","armour","chain_gauntlets","rimesteel","","blacksmithing","67","forge","rimesteel x6",""
"armour.chain.hands.verdite","Verdite Chainmail gauntlets","armour","chain_gauntlets","verdite","","blacksmithing","74","forge","verdite x6",""
"armour.chain.hands.voidrock","Voidrock Chainmail gauntlets","armour","chain_gauntlets","voidrock","","blacksmithing","81","forge","voidrock x6",""
"armour.chain.hands.starfall","Starfall Chainmail gauntlets","armour","chain_gauntlets","starfall","","blacksmithing","88","forge","starfall x6",""
"armour.chain.wrists.iron","Iron Chainmail bracers","armour","chain_bracers","iron","","blacksmithing","39","forge","iron x6",""
"armour.chain.wrists.silver","Silver Chainmail bracers","armour","chain_bracers","silver","","blacksmithing","46","forge","silver x6",""
"armour.chain.wrists.coldiron","Coldiron Chainmail bracers","armour","chain_bracers","coldiron","","blacksmithing","53","forge","coldiron x6",""
"armour.chain.wrists.emberite","Emberite Chainmail bracers","armour","chain_bracers","emberite","","blacksmithing","60","forge","emberite x6",""
"armour.chain.wrists.rimesteel","Rimesteel Chainmail bracers","armour","chain_bracers","rimesteel","","blacksmithing","67","forge","rimesteel x6",""
"armour.chain.wrists.verdite","Verdite Chainmail bracers","armour","chain_bracers","verdite","","blacksmithing","74","forge","verdite x6",""
"armour.chain.wrists.voidrock","Voidrock Chainmail bracers","armour","chain_bracers","voidrock","","blacksmithing","81","forge","voidrock x6",""
"armour.chain.wrists.starfall","Starfall Chainmail bracers","armour","chain_bracers","starfall","","blacksmithing","88","forge","starfall x6",""
"armour.chain.waist.iron","Iron Chainmail belt","armour","chain_belt","iron","","blacksmithing","38","forge","iron x6",""
"armour.chain.waist.silver","Silver Chainmail belt","armour","chain_belt","silver","","blacksmithing","45","forge","silver x6",""
"armour.chain.waist.coldiron","Coldiron Chainmail belt","armour","chain_belt","coldiron","","blacksmithing","52","forge","coldiron x6",""
"armour.chain.waist.emberite","Emberite Chainmail belt","armour","chain_belt","emberite","","blacksmithing","59","forge","emberite x6",""
"armour.chain.waist.rimesteel","Rimesteel Chainmail belt","armour","chain_belt","rimesteel","","blacksmithing","66","forge","rimesteel x6",""
"armour.chain.waist.verdite","Verdite Chainmail belt","armour","chain_belt","verdite","","blacksmithing","73","forge","verdite x6",""
"armour.chain.waist.voidrock","Voidrock Chainmail belt","armour","chain_belt","voidrock","","blacksmithing","80","forge","voidrock x6",""
"armour.chain.waist.starfall","Starfall Chainmail belt","armour","chain_belt","starfall","","blacksmithing","87","forge","starfall x6",""
"armour.chain.legs.iron","Iron Chainmail greaves","armour","chain_greaves","iron","","blacksmithing","43","forge","iron x7",""
"armour.chain.legs.silver","Silver Chainmail greaves","armour","chain_greaves","silver","","blacksmithing","50","forge","silver x7",""
"armour.chain.legs.coldiron","Coldiron Chainmail greaves","armour","chain_greaves","coldiron","","blacksmithing","57","forge","coldiron x7",""
"armour.chain.legs.emberite","Emberite Chainmail greaves","armour","chain_greaves","emberite","","blacksmithing","64","forge","emberite x7",""
"armour.chain.legs.rimesteel","Rimesteel Chainmail greaves","armour","chain_greaves","rimesteel","","blacksmithing","71","forge","rimesteel x7",""
"armour.chain.legs.verdite","Verdite Chainmail greaves","armour","chain_greaves","verdite","","blacksmithing","78","forge","verdite x7",""
"armour.chain.legs.voidrock","Voidrock Chainmail greaves","armour","chain_greaves","voidrock","","blacksmithing","85","forge","voidrock x7",""
"armour.chain.legs.starfall","Starfall Chainmail greaves","armour","chain_greaves","starfall","","blacksmithing","92","forge","starfall x7",""
"armour.chain.feet.iron","Iron Chainmail boots","armour","chain_boots","iron","","blacksmithing","39","forge","iron x6",""
"armour.chain.feet.silver","Silver Chainmail boots","armour","chain_boots","silver","","blacksmithing","46","forge","silver x6",""
"armour.chain.feet.coldiron","Coldiron Chainmail boots","armour","chain_boots","coldiron","","blacksmithing","53","forge","coldiron x6",""
"armour.chain.feet.emberite","Emberite Chainmail boots","armour","chain_boots","emberite","","blacksmithing","60","forge","emberite x6",""
"armour.chain.feet.rimesteel","Rimesteel Chainmail boots","armour","chain_boots","rimesteel","","blacksmithing","67","forge","rimesteel x6",""
"armour.chain.feet.verdite","Verdite Chainmail boots","armour","chain_boots","verdite","","blacksmithing","74","forge","verdite x6",""
"armour.chain.feet.voidrock","Voidrock Chainmail boots","armour","chain_boots","voidrock","","blacksmithing","81","forge","voidrock x6",""
"armour.chain.feet.starfall","Starfall Chainmail boots","armour","chain_boots","starfall","","blacksmithing","88","forge","starfall x6",""
"armour.chain.back.iron","Iron Chainmail cloak","armour","chain_cloak","iron","","blacksmithing","40","forge","iron x7",""
"armour.chain.back.silver","Silver Chainmail cloak","armour","chain_cloak","silver","","blacksmithing","47","forge","silver x7",""
"armour.chain.back.coldiron","Coldiron Chainmail cloak","armour","chain_cloak","coldiron","","blacksmithing","54","forge","coldiron x7",""
"armour.chain.back.emberite","Emberite Chainmail cloak","armour","chain_cloak","emberite","","blacksmithing","61","forge","emberite x7",""
"armour.chain.back.rimesteel","Rimesteel Chainmail cloak","armour","chain_cloak","rimesteel","","blacksmithing","68","forge","rimesteel x7",""
"armour.chain.back.verdite","Verdite Chainmail cloak","armour","chain_cloak","verdite","","blacksmithing","75","forge","verdite x7",""
"armour.chain.back.voidrock","Voidrock Chainmail cloak","armour","chain_cloak","voidrock","","blacksmithing","82","forge","voidrock x7",""
"armour.chain.back.starfall","Starfall Chainmail cloak","armour","chain_cloak","starfall","","blacksmithing","89","forge","starfall x7",""
"armour.plate.head.iron","Iron Platemail helm","armour","plate_helm","iron","","blacksmithing","49","forge","iron x9",""
"armour.plate.head.silver","Silver Platemail helm","armour","plate_helm","silver","","blacksmithing","56","forge","silver x9",""
"armour.plate.head.coldiron","Coldiron Platemail helm","armour","plate_helm","coldiron","","blacksmithing","63","forge","coldiron x9",""
"armour.plate.head.emberite","Emberite Platemail helm","armour","plate_helm","emberite","","blacksmithing","70","forge","emberite x9",""
"armour.plate.head.rimesteel","Rimesteel Platemail helm","armour","plate_helm","rimesteel","","blacksmithing","77","forge","rimesteel x9",""
"armour.plate.head.verdite","Verdite Platemail helm","armour","plate_helm","verdite","","blacksmithing","84","forge","verdite x9",""
"armour.plate.head.voidrock","Voidrock Platemail helm","armour","plate_helm","voidrock","","blacksmithing","91","forge","voidrock x9",""
"armour.plate.head.starfall","Starfall Platemail helm","armour","plate_helm","starfall","","blacksmithing","95","forge","starfall x9",""
"armour.plate.chest.iron","Iron Platemail breastplate","armour","plate_breastplate","iron","","blacksmithing","54","forge","iron x10",""
"armour.plate.chest.silver","Silver Platemail breastplate","armour","plate_breastplate","silver","","blacksmithing","61","forge","silver x10",""
"armour.plate.chest.coldiron","Coldiron Platemail breastplate","armour","plate_breastplate","coldiron","","blacksmithing","68","forge","coldiron x10",""
"armour.plate.chest.emberite","Emberite Platemail breastplate","armour","plate_breastplate","emberite","","blacksmithing","75","forge","emberite x10",""
"armour.plate.chest.rimesteel","Rimesteel Platemail breastplate","armour","plate_breastplate","rimesteel","","blacksmithing","82","forge","rimesteel x10",""
"armour.plate.chest.verdite","Verdite Platemail breastplate","armour","plate_breastplate","verdite","","blacksmithing","89","forge","verdite x10",""
"armour.plate.chest.voidrock","Voidrock Platemail breastplate","armour","plate_breastplate","voidrock","","blacksmithing","95","forge","voidrock x10",""
"armour.plate.chest.starfall","Starfall Platemail breastplate","armour","plate_breastplate","starfall","","blacksmithing","95","forge","starfall x10",""
"armour.plate.hands.iron","Iron Platemail gauntlets","armour","plate_gauntlets","iron","","blacksmithing","47","forge","iron x8",""
"armour.plate.hands.silver","Silver Platemail gauntlets","armour","plate_gauntlets","silver","","blacksmithing","54","forge","silver x8",""
"armour.plate.hands.coldiron","Coldiron Platemail gauntlets","armour","plate_gauntlets","coldiron","","blacksmithing","61","forge","coldiron x8",""
"armour.plate.hands.emberite","Emberite Platemail gauntlets","armour","plate_gauntlets","emberite","","blacksmithing","68","forge","emberite x8",""
"armour.plate.hands.rimesteel","Rimesteel Platemail gauntlets","armour","plate_gauntlets","rimesteel","","blacksmithing","75","forge","rimesteel x8",""
"armour.plate.hands.verdite","Verdite Platemail gauntlets","armour","plate_gauntlets","verdite","","blacksmithing","82","forge","verdite x8",""
"armour.plate.hands.voidrock","Voidrock Platemail gauntlets","armour","plate_gauntlets","voidrock","","blacksmithing","89","forge","voidrock x8",""
"armour.plate.hands.starfall","Starfall Platemail gauntlets","armour","plate_gauntlets","starfall","","blacksmithing","95","forge","starfall x8",""
"armour.plate.wrists.iron","Iron Platemail bracers","armour","plate_bracers","iron","","blacksmithing","47","forge","iron x8",""
"armour.plate.wrists.silver","Silver Platemail bracers","armour","plate_bracers","silver","","blacksmithing","54","forge","silver x8",""
"armour.plate.wrists.coldiron","Coldiron Platemail bracers","armour","plate_bracers","coldiron","","blacksmithing","61","forge","coldiron x8",""
"armour.plate.wrists.emberite","Emberite Platemail bracers","armour","plate_bracers","emberite","","blacksmithing","68","forge","emberite x8",""
"armour.plate.wrists.rimesteel","Rimesteel Platemail bracers","armour","plate_bracers","rimesteel","","blacksmithing","75","forge","rimesteel x8",""
"armour.plate.wrists.verdite","Verdite Platemail bracers","armour","plate_bracers","verdite","","blacksmithing","82","forge","verdite x8",""
"armour.plate.wrists.voidrock","Voidrock Platemail bracers","armour","plate_bracers","voidrock","","blacksmithing","89","forge","voidrock x8",""
"armour.plate.wrists.starfall","Starfall Platemail bracers","armour","plate_bracers","starfall","","blacksmithing","95","forge","starfall x8",""
"armour.plate.waist.iron","Iron Platemail belt","armour","plate_belt","iron","","blacksmithing","46","forge","iron x8",""
"armour.plate.waist.silver","Silver Platemail belt","armour","plate_belt","silver","","blacksmithing","53","forge","silver x8",""
"armour.plate.waist.coldiron","Coldiron Platemail belt","armour","plate_belt","coldiron","","blacksmithing","60","forge","coldiron x8",""
"armour.plate.waist.emberite","Emberite Platemail belt","armour","plate_belt","emberite","","blacksmithing","67","forge","emberite x8",""
"armour.plate.waist.rimesteel","Rimesteel Platemail belt","armour","plate_belt","rimesteel","","blacksmithing","74","forge","rimesteel x8",""
"armour.plate.waist.verdite","Verdite Platemail belt","armour","plate_belt","verdite","","blacksmithing","81","forge","verdite x8",""
"armour.plate.waist.voidrock","Voidrock Platemail belt","armour","plate_belt","voidrock","","blacksmithing","88","forge","voidrock x8",""
"armour.plate.waist.starfall","Starfall Platemail belt","armour","plate_belt","starfall","","blacksmithing","95","forge","starfall x8",""
"armour.plate.legs.iron","Iron Platemail greaves","armour","plate_greaves","iron","","blacksmithing","51","forge","iron x9",""
"armour.plate.legs.silver","Silver Platemail greaves","armour","plate_greaves","silver","","blacksmithing","58","forge","silver x9",""
"armour.plate.legs.coldiron","Coldiron Platemail greaves","armour","plate_greaves","coldiron","","blacksmithing","65","forge","coldiron x9",""
"armour.plate.legs.emberite","Emberite Platemail greaves","armour","plate_greaves","emberite","","blacksmithing","72","forge","emberite x9",""
"armour.plate.legs.rimesteel","Rimesteel Platemail greaves","armour","plate_greaves","rimesteel","","blacksmithing","79","forge","rimesteel x9",""
"armour.plate.legs.verdite","Verdite Platemail greaves","armour","plate_greaves","verdite","","blacksmithing","86","forge","verdite x9",""
"armour.plate.legs.voidrock","Voidrock Platemail greaves","armour","plate_greaves","voidrock","","blacksmithing","93","forge","voidrock x9",""
"armour.plate.legs.starfall","Starfall Platemail greaves","armour","plate_greaves","starfall","","blacksmithing","95","forge","starfall x9",""
"armour.plate.feet.iron","Iron Platemail boots","armour","plate_boots","iron","","blacksmithing","47","forge","iron x8",""
"armour.plate.feet.silver","Silver Platemail boots","armour","plate_boots","silver","","blacksmithing","54","forge","silver x8",""
"armour.plate.feet.coldiron","Coldiron Platemail boots","armour","plate_boots","coldiron","","blacksmithing","61","forge","coldiron x8",""
"armour.plate.feet.emberite","Emberite Platemail boots","armour","plate_boots","emberite","","blacksmithing","68","forge","emberite x8",""
"armour.plate.feet.rimesteel","Rimesteel Platemail boots","armour","plate_boots","rimesteel","","blacksmithing","75","forge","rimesteel x8",""
"armour.plate.feet.verdite","Verdite Platemail boots","armour","plate_boots","verdite","","blacksmithing","82","forge","verdite x8",""
"armour.plate.feet.voidrock","Voidrock Platemail boots","armour","plate_boots","voidrock","","blacksmithing","89","forge","voidrock x8",""
"armour.plate.feet.starfall","Starfall Platemail boots","armour","plate_boots","starfall","","blacksmithing","95","forge","starfall x8",""
"armour.plate.back.iron","Iron Platemail cloak","armour","plate_cloak","iron","","blacksmithing","48","forge","iron x9",""
"armour.plate.back.silver","Silver Platemail cloak","armour","plate_cloak","silver","","blacksmithing","55","forge","silver x9",""
"armour.plate.back.coldiron","Coldiron Platemail cloak","armour","plate_cloak","coldiron","","blacksmithing","62","forge","coldiron x9",""
"armour.plate.back.emberite","Emberite Platemail cloak","armour","plate_cloak","emberite","","blacksmithing","69","forge","emberite x9",""
"armour.plate.back.rimesteel","Rimesteel Platemail cloak","armour","plate_cloak","rimesteel","","blacksmithing","76","forge","rimesteel x9",""
"armour.plate.back.verdite","Verdite Platemail cloak","armour","plate_cloak","verdite","","blacksmithing","83","forge","verdite x9",""
"armour.plate.back.voidrock","Voidrock Platemail cloak","armour","plate_cloak","voidrock","","blacksmithing","90","forge","voidrock x9",""
"armour.plate.back.starfall","Starfall Platemail cloak","armour","plate_cloak","starfall","","blacksmithing","95","forge","starfall x9",""
"shield.buckler.iron","Iron Buckler shield","shield","buckler","iron","","blacksmithing","22","forge","iron x3; oak x1","icons/items/buckler.webp"
"shield.buckler.silver","Silver Buckler shield","shield","buckler","silver","","blacksmithing","29","forge","silver x3; oak x1","icons/items/buckler.webp"
"shield.buckler.coldiron","Coldiron Buckler shield","shield","buckler","coldiron","","blacksmithing","36","forge","coldiron x3; oak x1","icons/items/buckler.webp"
"shield.buckler.emberite","Emberite Buckler shield","shield","buckler","emberite","","blacksmithing","43","forge","emberite x3; oak x1","icons/items/buckler.webp"
"shield.buckler.rimesteel","Rimesteel Buckler shield","shield","buckler","rimesteel","","blacksmithing","50","forge","rimesteel x3; oak x1","icons/items/buckler.webp"
"shield.buckler.verdite","Verdite Buckler shield","shield","buckler","verdite","","blacksmithing","57","forge","verdite x3; oak x1","icons/items/buckler.webp"
"shield.buckler.voidrock","Voidrock Buckler shield","shield","buckler","voidrock","","blacksmithing","64","forge","voidrock x3; oak x1","icons/items/buckler.webp"
"shield.buckler.starfall","Starfall Buckler shield","shield","buckler","starfall","","blacksmithing","71","forge","starfall x3; oak x1","icons/items/buckler.webp"
"shield.kite.iron","Iron Kite shield","shield","kite","iron","","blacksmithing","28","forge","iron x5; oak x1","icons/items/kite-shield.webp"
"shield.kite.silver","Silver Kite shield","shield","kite","silver","","blacksmithing","35","forge","silver x5; oak x1","icons/items/kite-shield.webp"
"shield.kite.coldiron","Coldiron Kite shield","shield","kite","coldiron","","blacksmithing","42","forge","coldiron x5; oak x1","icons/items/kite-shield.webp"
"shield.kite.emberite","Emberite Kite shield","shield","kite","emberite","","blacksmithing","49","forge","emberite x5; oak x1","icons/items/kite-shield.webp"
"shield.kite.rimesteel","Rimesteel Kite shield","shield","kite","rimesteel","","blacksmithing","56","forge","rimesteel x5; oak x1","icons/items/kite-shield.webp"
"shield.kite.verdite","Verdite Kite shield","shield","kite","verdite","","blacksmithing","63","forge","verdite x5; oak x1","icons/items/kite-shield.webp"
"shield.kite.voidrock","Voidrock Kite shield","shield","kite","voidrock","","blacksmithing","70","forge","voidrock x5; oak x1","icons/items/kite-shield.webp"
"shield.kite.starfall","Starfall Kite shield","shield","kite","starfall","","blacksmithing","77","forge","starfall x5; oak x1","icons/items/kite-shield.webp"
"shield.tower.iron","Iron Tower shield","shield","tower","iron","","blacksmithing","34","forge","iron x7; oak x1",""
"shield.tower.silver","Silver Tower shield","shield","tower","silver","","blacksmithing","41","forge","silver x7; oak x1",""
"shield.tower.coldiron","Coldiron Tower shield","shield","tower","coldiron","","blacksmithing","48","forge","coldiron x7; oak x1",""
"shield.tower.emberite","Emberite Tower shield","shield","tower","emberite","","blacksmithing","55","forge","emberite x7; oak x1",""
"shield.tower.rimesteel","Rimesteel Tower shield","shield","tower","rimesteel","","blacksmithing","62","forge","rimesteel x7; oak x1",""
"shield.tower.verdite","Verdite Tower shield","shield","tower","verdite","","blacksmithing","69","forge","verdite x7; oak x1",""
"shield.tower.voidrock","Voidrock Tower shield","shield","tower","voidrock","","blacksmithing","76","forge","voidrock x7; oak x1",""
"shield.tower.starfall","Starfall Tower shield","shield","tower","starfall","","blacksmithing","83","forge","starfall x7; oak x1",""
"bow.quarterstaff.oak","Oak Quarterstaff","staff","quarterstaff","oak","","carpentry","6","workbench","oak x2","icons/items/quarterstaff.webp"
"bow.quarterstaff.ash","Ash Quarterstaff","staff","quarterstaff","ash","","carpentry","13","workbench","ash x2","icons/items/quarterstaff.webp"
"bow.quarterstaff.heartwood","Heartwood Quarterstaff","staff","quarterstaff","heartwood","","carpentry","20","workbench","heartwood x2","icons/items/quarterstaff.webp"
"bow.quarterstaff.ironbark","Ironbark Quarterstaff","staff","quarterstaff","ironbark","","carpentry","27","workbench","ironbark x2","icons/items/quarterstaff.webp"
"bow.shortbow.oak","Oak Shortbow","bow","shortbow","oak","","carpentry","8","workbench","oak x2; hide x1","icons/items/shortbow.webp"
"bow.shortbow.ash","Ash Shortbow","bow","shortbow","ash","","carpentry","15","workbench","ash x2; hide x1","icons/items/shortbow.webp"
"bow.shortbow.heartwood","Heartwood Shortbow","bow","shortbow","heartwood","","carpentry","22","workbench","heartwood x2; hide x1","icons/items/shortbow.webp"
"bow.shortbow.ironbark","Ironbark Shortbow","bow","shortbow","ironbark","","carpentry","29","workbench","ironbark x2; hide x1","icons/items/shortbow.webp"
"bow.longbow.oak","Oak Longbow","bow","longbow","oak","","carpentry","16","workbench","oak x4; hide x1","icons/items/longbow.webp"
"bow.longbow.ash","Ash Longbow","bow","longbow","ash","","carpentry","23","workbench","ash x4; hide x1","icons/items/longbow.webp"
"bow.longbow.heartwood","Heartwood Longbow","bow","longbow","heartwood","","carpentry","30","workbench","heartwood x4; hide x1","icons/items/longbow.webp"
"bow.longbow.ironbark","Ironbark Longbow","bow","longbow","ironbark","","carpentry","37","workbench","ironbark x4; hide x1","icons/items/longbow.webp"
"bow.crossbow.oak","Oak Crossbow","bow","crossbow","oak","","carpentry","20","workbench","oak x5; iron x1","icons/items/crossbow.webp"
"bow.crossbow.ash","Ash Crossbow","bow","crossbow","ash","","carpentry","27","workbench","ash x5; iron x1","icons/items/crossbow.webp"
"bow.crossbow.heartwood","Heartwood Crossbow","bow","crossbow","heartwood","","carpentry","34","workbench","heartwood x5; iron x1","icons/items/crossbow.webp"
"bow.crossbow.ironbark","Ironbark Crossbow","bow","crossbow","ironbark","","carpentry","41","workbench","ironbark x5; iron x1","icons/items/crossbow.webp"
"ammo.arrow.oak","Oak Arrows","ammo","arrow","oak","","fletching","4","workbench","oak x1; iron x1","icons/items/arrow-bundle.webp"
"ammo.arrow.ash","Ash Arrows","ammo","arrow","ash","","fletching","11","workbench","ash x1; iron x1","icons/items/arrow-bundle.webp"
"ammo.arrow.heartwood","Heartwood Arrows","ammo","arrow","heartwood","","fletching","18","workbench","heartwood x1; iron x1","icons/items/arrow-bundle.webp"
"ammo.arrow.ironbark","Ironbark Arrows","ammo","arrow","ironbark","","fletching","25","workbench","ironbark x1; iron x1","icons/items/arrow-bundle.webp"
"ammo.bolt.oak","Oak Bolts","ammo","bolt","oak","","fletching","6","workbench","oak x1; iron x1",""
"ammo.bolt.ash","Ash Bolts","ammo","bolt","ash","","fletching","13","workbench","ash x1; iron x1",""
"ammo.bolt.heartwood","Heartwood Bolts","ammo","bolt","heartwood","","fletching","20","workbench","heartwood x1; iron x1",""
"ammo.bolt.ironbark","Ironbark Bolts","ammo","bolt","ironbark","","fletching","27","workbench","ironbark x1; iron x1",""
"potion.heal","Potion of healing","potion","healPotion","reagents","","alchemy","10","alchemyTable","ginseng x1; garlic x1",""
"potion.stamina","Potion of stamina","potion","staminaPotion","reagents","","alchemy","8","alchemyTable","wildBerries x2; ginseng x1",""
"potion.mana","Potion of mana","potion","manaPotion","reagents","","alchemy","15","alchemyTable","bloodmoss x1; ginseng x1",""
"potion.cure","Potion of curing","potion","curePotion","reagents","","alchemy","20","alchemyTable","garlic x2; ginseng x1",""
"potion.strength","Potion of strength","potion","strengthPotion","reagents","","alchemy","35","alchemyTable","mandrake x2; meat x1",""
"potion.agility","Potion of agility","potion","agilityPotion","reagents","","alchemy","35","alchemyTable","bloodmoss x2; brownCap x1",""
"potion.nightSight","Potion of night sight","potion","nightSightPotion","reagents","","alchemy","45","alchemyTable","paleCap x2; bloodmoss x1",""
"potion.invisibility","Potion of invisibility","potion","invisibilityPotion","reagents","","alchemy","65","alchemyTable","nightshade x2; bloodmoss x2",""
"meal.heartyStew","Hearty stew","meal","heartyStew","heartyStew","","cooking","4","kitchen","meat x2; brownCap x1",""
"meal.roastFowl","Roast fowl","meal","roastFowl","roastFowl","","cooking","6","kitchen","meat x2; garlic x1",""
"meal.fishPie","Fish pie","meal","fishPie","fishPie","","cooking","10","kitchen","fish x2; wildBerries x1",""
"meal.honeyBread","Honey bread","meal","honeyBread","honeyBread","","cooking","8","kitchen","wildBerries x2; brownCap x1",""
"meal.spicedWine","Spiced wine","meal","spicedWine","spicedWine","","cooking","14","kitchen","wildBerries x3; ginseng x1",""
"meal.travellersRation","Traveller's ration","meal","travellersRation","travellersRation","","cooking","12","kitchen","meat x1; brownCap x2; garlic x1",""
"tool.axe","Axe","tool","axe","iron","","tinkering","26","forge","iron x3; oak x1","icons/items/axe.webp"
"tool.pickaxe","Pickaxe","tool","pickaxe","iron","","tinkering","26","forge","iron x3; oak x1","icons/items/pickaxe.webp"
"tool.hatchet","Hatchet","tool","hatchet","iron","","tinkering","22","forge","iron x2; oak x1",""
"tool.sewingKit","Sewing kit","tool","sewingKit","iron","","tinkering","20","loom","iron x1; cloth x1",""
"tool.tongs","Tongs","tool","tongs","iron","","tinkering","24","forge","iron x2","icons/items/tongs.webp"
"tool.saw","Saw","tool","saw","iron","","tinkering","26","forge","iron x2; oak x1",""
"tool.tinkersTools","Tinker's tools","tool","tinkersTools","iron","","tinkering","32","forge","iron x3; oak x1",""
"bag.bag4","4 slot bag","bag","bag4","cloth","","tailoring","6","loom","cloth x2",""
"bag.bag8","8 slot bag","bag","bag8","cloth","","tailoring","18","loom","cloth x4",""
"bag.bag12","12 slot bag","bag","bag12","hide","","tailoring","32","loom","hide x6; cloth x2",""
"bag.bag16","16 slot bag","bag","bag16","hide","","tailoring","48","loom","hide x8; cloth x2",""
